Individual,Institution_Code,Region,Sex,Ancestry,Sub,Tribe_Clean,Lang_Class,Age,Age_Clean_yr,Age_Group,Completion_%,LUI1MD_mm,LUI1BL_mm,RUI1MD_mm,RUI1BL_mm,LUI2MD_mm,LUI2BL_mm,RUI2MD_mm,RUI2BL_mm,LUCMD_mm,LUCBL_mm,RUCMD_mm,RUCBL_mm,LUP3MD_mm,LUP3BL_mm,RUP3MD_mm,RUP3BL_mm,LUP4MD_mm,LUP4BL_mm,RUP4MD_mm,RUP4BL_mm,LUM1MD_mm,LUM1BL_mm,LUM1MBDL_mm,LUM1MLDB_mm,RUM1MD_mm,RUM1BL_mm,RUM1MBDL_mm,RUM1MLDB_mm,LUM2MD_mm,LUM2BL_mm,LUM2MBDL_mm,LUM2MLDB_mm,RUM2MD_mm,RUM2BL_mm,RUM2MBDL_mm,RUM2MLDB_mm,LLI1MD_mm,LLI1BL_mm,RLI1MD_mm,RLI1BL_mm,LLI2MD_mm,LLI2BL_mm,RLI2MD_mm,RLI2BL_mm,LLCMD_mm,LLCBL_mm,RLCMD_mm,RLCBL_mm,LLP3MD_mm,LLP3BL_mm,RLP3MD_mm,RLP3BL_mm,LLP4MD_mm,LLP4BL_mm,RLP4MD_mm,RLP4BL_mm,LLM1MD_mm,LLM1BL_mm,LLM1MBDL_mm,LLM1MLDB_mm,RLM1MD_mm,RLM1BL_mm,RLM1MBDL_mm,RLM1MLDB_mm,LLM2MD_mm,LLM2BL_mm,LLM2MBDL_mm,LLM2MLDB_mm,RLM2MD_mm,RLM2BL_mm,RLM2MBDL_mm,RLM2MLDB_mm,Bi_LCBL_mm,Bi_LCMD_mm,Bi_LI1BL_mm,Bi_LI1MD_mm,Bi_LI2BL_mm,Bi_LI2MD_mm,Bi_LM1BL_mm,Bi_LM1MBDL_mm,Bi_LM1MD_mm,Bi_LM1MLDB_mm,Bi_LM2BL_mm,Bi_LM2MBDL_mm,Bi_LM2MD_mm,Bi_LM2MLDB_mm,Bi_LP3BL_mm,Bi_LP3MD_mm,Bi_LP4BL_mm,Bi_LP4MD_mm,Bi_UCBL_mm,Bi_UCMD_mm,Bi_UI1BL_mm,Bi_UI1MD_mm,Bi_UI2BL_mm,Bi_UI2MD_mm,Bi_UM1BL_mm,Bi_UM1MBDL_mm,Bi_UM1MD_mm,Bi_UM1MLDB_mm,Bi_UM2BL_mm,Bi_UM2MBDL_mm,Bi_UM2MD_mm,Bi_UM2MLDB_mm,Bi_UP3BL_mm,Bi_UP3MD_mm,Bi_UP4BL_mm,Bi_UP4MD_mm
UP6229,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,66,66,Older_Adult,28,NA,NA,7.29,6.5,6.45,5.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47,5.19,NA,NA,NA,NA,5.32,5.58,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,5.19,4.47,5.58,5.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7.29,5.95,6.45,NA,NA,NA,NA,NA,NA,NA,NA,8.34,NA,NA,NA
UP6232,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,85,85,Older_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09,8.88,NA,NA,NA,NA,NA,NA,6.8,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88,8.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,6.8
UP6105,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,82,82,Older_Adult,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36,8.9,NA,NA,7.04,8.02,NA,9.11,NA,NA,12.35,10.64,12.24,11.63,NA,NA,NA,NA,11.1,10.59,11.96,11.5,NA,NA,NA,NA,8.9,7.36,NA,NA,NA,NA,10.64,12.24,12.35,11.63,10.59,11.96,11.1,11.5,8.02,7.04,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP6109,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,28,28,Middle_Aged_Adult,61,NA,NA,NA,7.02,6.29,6.34,NA,NA,7.67,7.85,NA,NA,6.67,8.68,NA,NA,7,8.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.49,NA,12.44,10.26,5.11,5.74,NA,NA,5.11,6,NA,NA,5.87,7.45,NA,NA,7.12,7.71,NA,NA,7.09,8.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,5.87,5.74,5.11,6,5.11,NA,NA,NA,NA,NA,NA,NA,NA,7.71,7.12,8.21,7.09,7.85,7.67,7.02,NA,6.34,6.29,NA,NA,NA,NA,NA,12.44,10.49,10.26,8.68,6.67,8.97,7
UP6196,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,72,72,Older_Adult,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04,8.8,NA,NA,7.45,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.93,11.64,12.37,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,8.04,NA,NA,NA,NA,NA,10.93,NA,11.64,11.4,NA,12.37,NA,10,7.45,NA,NA
UP6206,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,84,84,Older_Adult,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.09,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,5.81,NA,NA,NA,NA,NA,NA,6.5,7.4,NA,NA,6.56,7.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81,5.53,NA,NA,NA,NA,NA,NA,NA,NA,7.4,6.5,7.71,6.56,7.3,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP6208,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,78,78,Older_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54,5.62,NA,NA,5.36,5.95,NA,NA,5.73,6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.89,5.73,5.62,4.54,5.95,5.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP6031,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,58,58,Middle_Aged_Adult,56,NA,7.16,NA,NA,6.6,6.22,NA,NA,7.43,8.26,NA,NA,6.73,8.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.24,12.07,11.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.72,8.05,7.09,7.79,NA,NA,6.47,8.41,NA,NA,NA,NA,NA,11.09,NA,NA,NA,NA,NA,10.41,11.63,11.11,NA,NA,NA,NA,8.05,6.72,NA,NA,NA,NA,NA,NA,NA,11.09,10.41,11.63,NA,11.11,7.79,7.09,8.41,6.47,8.26,7.43,7.16,NA,6.22,6.6,NA,NA,NA,NA,11.24,12.07,NA,11.01,8.91,6.73,NA,NA
UP6016,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,63,63,Older_Adult,28,NA,NA,9.12,8.24,NA,NA,NA,NA,NA,NA,7.91,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.55,13.55,13.88,12.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.09,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.99,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,7.91,8.24,9.12,NA,NA,NA,NA,NA,NA,13.55,13.88,10.55,12.76,NA,NA,NA,NA
UP6013,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,76,76,Older_Adult,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,6.22,NA,NA
UP6008,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,48,48,Middle_Aged_Adult,67,8.31,7.63,NA,NA,6.44,6.92,NA,NA,7.78,8.78,NA,NA,6.92,10.06,NA,NA,6.55,9.59,NA,NA,9.81,12.01,11.98,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,6.8,NA,NA,7.05,7.91,NA,NA,7.14,8.22,NA,NA,NA,NA,6.98,8.65,NA,NA,NA,NA,NA,10.3,12.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91,7.05,NA,NA,6.8,5.82,10.3,12.25,NA,NA,NA,NA,NA,NA,8.22,7.14,8.65,6.98,8.78,7.78,7.63,8.31,6.92,6.44,12.01,11.98,9.81,11.25,NA,NA,NA,NA,10.06,6.92,9.59,6.55
UP5999,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,47,47,Middle_Aged_Adult,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75,6.29,NA,NA,NA,NA,6.91,7.74,6.99,7.96,NA,NA,NA,NA,7.46,8.82,NA,NA,NA,NA,NA,NA,NA,NA,11.8,10.42,11.6,12.02,NA,NA,NA,NA,7.74,6.91,NA,NA,6.29,5.75,NA,NA,NA,NA,10.42,11.6,11.8,12.02,7.96,6.99,8.82,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5970,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,81,81,Older_Adult,39,NA,NA,NA,NA,NA,NA,NA,NA,7.47,NA,NA,7.1,7.62,9.36,NA,NA,6.93,9.17,NA,NA,NA,NA,NA,NA,NA,12.12,12.14,11.38,NA,NA,NA,NA,10.92,NA,10.43,9.75,NA,NA,NA,NA,5.79,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,7.47,NA,NA,NA,NA,12.12,12.14,NA,11.38,NA,10.43,10.92,9.75,9.36,7.62,9.17,6.93
UP5960,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,49,49,Middle_Aged_Adult,56,NA,NA,NA,NA,6.39,5.82,NA,NA,7.6,NA,NA,NA,6.61,9.23,NA,NA,NA,NA,6.6,9.37,NA,NA,NA,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56,5.55,NA,NA,5.66,6.05,NA,NA,6.91,7.97,NA,NA,6.68,7.93,NA,NA,6.57,8.08,NA,NA,11.09,NA,NA,NA,NA,NA,NA,NA,10.61,NA,NA,NA,NA,NA,NA,NA,7.97,6.91,5.55,4.56,6.05,5.66,NA,NA,11.09,NA,NA,NA,10.61,NA,7.93,6.68,8.08,6.57,NA,7.6,NA,NA,5.82,6.39,NA,NA,NA,10.84,NA,NA,NA,NA,9.23,6.61,9.37,6.6
UP5930,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,81,81,Older_Adult,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6.66,NA,NA,NA,8.47,NA,NA,NA,NA,NA,NA,7.26,8.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.75,10.3,11.99,11.88,NA,NA,NA,NA,8.47,NA,NA,NA,6.66,6.3,NA,NA,NA,NA,10.3,11.99,11.75,11.88,NA,NA,8.68,7.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5929,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,60,60,Middle_Aged_Adult,69,NA,NA,NA,NA,6.5,6.09,NA,NA,7.58,8.12,NA,NA,NA,NA,7.23,9.34,NA,NA,NA,10.18,10.14,12.57,11.5,NA,NA,NA,NA,NA,10.55,12.11,12.44,11.71,NA,NA,NA,NA,NA,NA,5.73,5.68,NA,NA,5.96,5.28,NA,NA,NA,7.51,7.05,8.45,NA,NA,NA,9.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.41,12.11,12.02,NA,NA,NA,NA,7.51,NA,5.68,5.73,5.28,5.96,NA,NA,NA,NA,10.41,12.11,NA,12.02,8.45,7.05,9.18,NA,8.12,7.58,NA,NA,6.09,6.5,12.57,11.5,10.14,NA,12.11,12.44,10.55,11.71,9.34,7.23,10.18,NA
UP5925,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,68,68,Older_Adult,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96,11.34,11.65,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,NA,NA,NA,7.12,NA,NA,NA,11.13,10.47,11.68,11.61,NA,NA,NA,NA,10.39,10.19,11.13,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.47,11.68,11.13,11.61,10.19,11.13,10.39,11.11,NA,6.57,NA,7.12,NA,NA,NA,NA,NA,NA,11.34,11.65,8.96,10.6,NA,NA,NA,NA,NA,NA,NA,NA
UP5922,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,72,72,Older_Adult,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65,5.6,NA,NA,6.48,5.83,NA,NA,7.18,8.15,NA,NA,NA,NA,7.35,NA,NA,NA,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,7.18,5.6,5.65,5.83,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.35,NA,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5916,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,77,77,Older_Adult,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,9.1,NA,NA,6.54,8.92,NA,NA,6.4,9.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.31,11.46,11.18,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,7.47,NA,NA,NA,NA,NA,NA,NA,NA,11.46,11.18,9.31,9.9,8.92,6.54,9.31,6.4
UP5895,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,57,57,Middle_Aged_Adult,44,NA,NA,NA,NA,NA,NA,NA,NA,7.3,8.08,NA,NA,NA,9.26,7.13,NA,NA,9.92,NA,NA,NA,10.5,11.33,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44,5.89,NA,NA,5.77,6.37,NA,NA,6.03,7.16,NA,NA,7.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,6.03,5.89,5.44,6.37,5.77,NA,NA,NA,NA,NA,NA,NA,NA,8,7.3,NA,NA,8.08,7.3,NA,NA,NA,NA,10.5,11.33,NA,10.81,NA,NA,NA,NA,9.26,7.13,9.92,NA
UP5874,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,78,78,Older_Adult,58,8.9,7.39,NA,NA,7.22,6.13,NA,NA,7.44,7.66,NA,NA,NA,NA,7.06,9.27,NA,9.57,NA,NA,9.77,11.87,12.33,10.89,NA,NA,NA,NA,9.2,11.81,11.82,10.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,10.05,11.3,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05,11.3,10.7,11.08,NA,NA,NA,NA,NA,NA,NA,NA,7.66,7.44,7.39,8.9,6.13,7.22,11.87,12.33,9.77,10.89,11.81,11.82,9.2,10.02,9.27,7.06,9.57,NA
UP5866,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,54,54,Middle_Aged_Adult,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,6.11,5.71,6.64,NA,NA,6.95,8.4,NA,NA,7.51,NA,NA,8.04,NA,NA,7.68,8.86,NA,NA,NA,NA,10.97,9.95,11.54,11.32,NA,NA,NA,NA,NA,NA,NA,NA,8.4,6.95,6.11,5.2,6.64,5.71,9.95,11.54,10.97,11.32,NA,NA,NA,NA,8.04,7.51,8.86,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.23,7,NA,NA
UP5865,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,76,76,Older_Adult,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,8.84,NA,NA,6.79,9.05,NA,9.4,NA,NA,10.05,11.35,12.23,10.42,NA,NA,NA,NA,9.84,11.56,11.76,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84,8.4,NA,NA,10.46,10.75,11.42,11.28,NA,NA,NA,NA,10.85,10.49,11.55,11.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,11.42,10.46,11.28,10.49,11.55,10.85,11.29,NA,NA,8.4,6.84,8.84,8.15,NA,NA,NA,NA,11.35,12.23,10.05,10.42,11.56,11.76,9.84,10.45,9.05,6.79,9.4,NA
UP5848,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,61,61,Older_Adult,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,NA,NA,NA,NA,NA,NA,NA,11.56,12.6,12.02,NA,NA,NA,NA,NA,11.78,12.31,10.85,NA,NA,NA,NA,NA,NA,NA,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,7.02,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.88,10.35,11.66,12.27,NA,NA,6.34,NA,NA,NA,NA,NA,NA,NA,10.35,11.66,11.88,12.27,7.9,NA,8.43,7.02,NA,NA,NA,NA,NA,NA,11.56,12.6,NA,12.02,11.78,12.31,NA,10.85,8.75,NA,NA,NA
UP5842,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,76,76,Older_Adult,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42,NA,10.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.57,9.42,NA,NA,NA,NA,NA
UP5644,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,61,61,Older_Adult,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,10.12,NA,NA,NA,NA,10.41,12.45,12.56,11.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,6.53,6.28,7.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03,6.28,NA,NA,6.53,5.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,12.45,12.56,10.41,11.28,NA,NA,NA,NA,10.12,NA,NA,NA
UP5640,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,52,52,Middle_Aged_Adult,33,NA,NA,NA,NA,NA,NA,NA,NA,8.14,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,6.14,NA,NA,6.32,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,8.9,NA,NA,11.49,10.65,11.94,11.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14,5.41,6.35,6.32,10.65,11.94,11.49,11.53,NA,NA,NA,NA,NA,NA,8.9,7.47,9.91,8.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5626,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,51,51,Middle_Aged_Adult,19,NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98,10.12,10.35,11.47,12.65,11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,NA,NA,NA,11.47,12.65,10.35,11.02,NA,NA,NA,NA,NA,NA,10.12,6.98
UP5594,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,69,69,Older_Adult,11,8.14,7.45,NA,NA,6.1,5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,8.14,5.91,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5592,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,74,74,Older_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02,6.51,NA,NA,6.32,7.99,NA,NA,NA,NA,NA,NA,6.72,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99,6.32,NA,NA,6.51,5.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5581,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,83,83,Older_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,12.44,12.78,11.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.44,12.78,10.3,11.64,NA,NA,NA,NA
